MSID,MSName,ZSID,ZSName,Achse,HNr,Hoehe,EKoord,NKoord,Richtung,Knummer,Kname,AnzDetektoren,D1ID,D2ID,D3ID,D4ID,lon,lat
Z048M002,Unbekannt,Z048,Rämistrasse (Stadelhoferstrasse),Rämistrasse,Unbekannt,ab Oderdorfstrasse,2683639.46,1246923.62,Bellevue,605,Rämi-/Stadelhoferstr,1,13,Unbekannt,Unbekannt,Unbekannt,8.545955627678723,47.367846076185934
Z049M001,Unbekannt,Z049,Bahnhofbrücke,Bahnhofbrücke,Unbekannt,Central,2683409.33,1247916.89,Central,304,Bahnhofbrücke/Central,1,19,Unbekannt,Unbekannt,Unbekannt,8.543094337992263,47.37680808858803
Z049M002,Unbekannt,Z049,Bahnhofbrücke,Bahnhofbrücke,Unbekannt,Bahnhofquai,2683341.26,1247938.79,Bahnhof,304,Bahnhofbrücke/Central,2,16,17,Unbekannt,Unbekannt,8.542197182245276,47.37701365647779
Z050M001,Unbekannt,Z050,Europabrücke (Max Högger- und Würzgrabenstrasse),Europabrücke,Unbekannt,vor Würzgrabenstrasse,2679597.69,1249679.24,Höngg,437,Europabrücke/Max Högger-/Würzgrabenstr,2,16,17,Unbekannt,Unbekannt,8.49294202326319,47.39312910903474
Z050M002,Unbekannt,Z050,Europabrücke (Max Högger- und Würzgrabenstrasse),Europabrücke,Unbekannt,ab Max-Höngger-Strasse,2679589.59,1249680.65,Altstetten,437,Europabrücke/Max Högger-/Würzgrabenstr,2,14,15,Unbekannt,Unbekannt,8.492834997891135,47.393142768431844
Z051M001,Unbekannt,Z051,Seebacherstrasse (Binzmühlestrasse),Seebacherstrasse,Unbekannt,ab Binzmühlestrasse,2681647.71,1252103.54,Seebach,784,Binzmühle-/Seebacherstr,1,2,Unbekannt,Unbekannt,Unbekannt,8.520535013338407,47.41468070805047
Z051M002,Unbekannt,Z051,Seebacherstrasse (Binzmühlestrasse),Seebacherstrasse,Unbekannt,vor Binzmühlestrasse,2681644.06,1252105.94,Affoltern,784,Binzmühle-/Seebacherstr,1,1,Unbekannt,Unbekannt,Unbekannt,8.520487091879131,47.41470274453062
Z052M001,Unbekannt,Z052,Hirschwiesentunnel,Hirschwiesentunnel,Unbekannt,Westportal,2682984.46,1250310.11,Winterthur,743,HIBUTU (Betriebsstatus und Zählstelle),1,2,Unbekannt,Unbekannt,Unbekannt,8.537913042755346,47.39838476925496
Z052M002,Unbekannt,Z052,Hirschwiesentunnel,Hirschwiesentunnel,Unbekannt,Westportal,2682982.87,1250316.11,Hardbrücke,743,HIBUTU (Betriebsstatus und Zählstelle),1,1,Unbekannt,Unbekannt,Unbekannt,8.537893096254667,47.39843892942238
Z053M001,Unbekannt,Z053,Birchstrasse (Eichraintunnel),Birchstrasse,Unbekannt,25m nach Glatttalstrasse,2683601.774,1253567.667,Autobahn,259,Eichraintunnel (Betriebsstatus und Zählstelle),2,5,6,Unbekannt,Unbekannt,8.546698776319129,47.42760273254681
Z053M002,Unbekannt,Z053,Birchstrasse (Eichraintunnel),Birchstrasse,Unbekannt,vor Glatttalstrasse,2683567.367,1253559.362,Glatttalstrasse,259,Eichraintunnel (Betriebsstatus und Zählstelle),2,3,4,Unbekannt,Unbekannt,8.546241246093356,47.42753241272731
